log_id,timestamp,cmdb_id,log_name,value
I-JkpX8BDiVcQfZwfC0Q,1647747298,currencyservice-0,log_currencyservice-service_application,"severity: info, message: received conversion request"
JOJkpX8BDiVcQfZwfC0Q,1647747297,currencyservice-1,log_currencyservice-service_application,"severity: info, message: Getting supported currencies..."
JeJkpX8BDiVcQfZwfC0Q,1647747298,currencyservice-0,log_currencyservice-service_application,"severity: info, message: conversion request successful"
J-JkpX8BDiVcQfZwfC0Q,1647747298,currencyservice-0,log_currencyservice-service_application,"severity: info, message: received conversion request"
KOJkpX8BDiVcQfZwfC0Q,1647747298,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
KeJkpX8BDiVcQfZwfC0Q,1647747298,currencyservice-0,log_currencyservice-service_application,"severity: info, message: conversion request successful"
K-JkpX8BDiVcQfZwfC0Q,1647747298,currencyservice-1,log_currencyservice-service_application,"severity: info, message: received conversion request"
LOJkpX8BDiVcQfZwfC0Q,1647747298,currencyservice-1,log_currencyservice-service_application,"severity: info, message: conversion request successful"
L-JkpX8BDiVcQfZwfC0Q,1647747298,frontend-0,log_frontend-service_application,"severity: debug, message: request complete"
MOJkpX8BDiVcQfZwfC0Q,1647747298,frontend-0,log_frontend-service_application,"severity: debug, message: request started"
MeJkpX8BDiVcQfZwfC0Q,1647747298,frontend-0,log_frontend-service_application,"severity: debug, message: view user cart"
MuJkpX8BDiVcQfZwfC0Q,1647747298,frontend-0,log_frontend-service_application,"severity: debug, message: request complete"
M-JkpX8BDiVcQfZwfC0Q,1647747298,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[1]
NOJkpX8BDiVcQfZwfC0Q,1647747298,cartservice-0,log_cartservice-service_application,     Request starting HTTP/2 POST http://cartservice:7070/hipstershop.CartService/GetCart application/grpc 
NeJkpX8BDiVcQfZwfC0Q,1647747298,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[0]
OOJkpX8BDiVcQfZwfC0Q,1647747298,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Routing.EndpointMiddleware[1]
OeJkpX8BDiVcQfZwfC0Q,1647747298,cartservice-0,log_cartservice-service_application,     Executed endpoint 'gRPC - /hipstershop.CartService/GetCart'
OuJkpX8BDiVcQfZwfC0Q,1647747298,cartservice-0,log_cartservice-service_application,[40m[32minfo[39m[22m[49m: Microsoft.AspNetCore.Hosting.Diagnostics[2]
O-JkpX8BDiVcQfZwfC0Q,1647747298,cartservice-0,log_cartservice-service_application,     Request finished in 0.8001ms 200 application/grpc
